timestamp, utilization.gpu [%], power.draw [W], temperature.gpu [C]
2025/07/30 15:02:04.943, 100, 349.21, 68
2025/07/30 15:02:06.006, 100, 350.35, 68
2025/07/30 15:02:07.050, 100, 355.76, 68
2025/07/30 15:02:08.094, 100, 349.54, 68
2025/07/30 15:02:09.138, 100, 349.91, 68
2025/07/30 15:02:10.206, 100, 350.83, 68
2025/07/30 15:02:11.272, 100, 355.46, 68
2025/07/30 15:02:12.319, 100, 349.01, 68
2025/07/30 15:02:13.346, 100, 350.33, 68
2025/07/30 15:02:14.411, 100, 350.21, 68
2025/07/30 15:02:15.453, 100, 351.48, 68
2025/07/30 15:02:16.501, 100, 349.05, 68
2025/07/30 15:02:17.545, 100, 349.63, 68
2025/07/30 15:02:18.608, 100, 350.11, 68
2025/07/30 15:02:19.651, 100, 350.07, 67
2025/07/30 15:02:20.696, 100, 349.24, 67
2025/07/30 15:02:21.757, 100, 349.05, 67
2025/07/30 15:02:22.800, 100, 349.65, 67
2025/07/30 15:02:23.860, 100, 352.38, 67
2025/07/30 15:02:24.900, 100, 348.52, 67
2025/07/30 15:02:25.940, 100, 349.54, 67
2025/07/30 15:02:26.980, 100, 349.37, 67
2025/07/30 15:02:28.042, 100, 354.64, 67
2025/07/30 15:02:29.109, 100, 349.61, 67
2025/07/30 15:02:30.178, 100, 348.68, 67
2025/07/30 15:02:31.220, 100, 349.76, 67
2025/07/30 15:02:32.265, 100, 356.65, 67
2025/07/30 15:02:33.328, 100, 348.59, 67
2025/07/30 15:02:34.391, 100, 349.54, 67
2025/07/30 15:02:35.434, 100, 349.83, 67
2025/07/30 15:02:36.501, 100, 355.66, 67
2025/07/30 15:02:37.547, 100, 349.73, 67
2025/07/30 15:02:38.589, 100, 349.95, 67
2025/07/30 15:02:39.615, 100, 350.08, 67
2025/07/30 15:02:40.657, 100, 355.26, 66
2025/07/30 15:02:41.701, 100, 349.23, 66
2025/07/30 15:02:42.740, 100, 350.23, 67
2025/07/30 15:02:43.781, 100, 350.20, 67
2025/07/30 15:02:44.826, 100, 348.42, 66
2025/07/30 15:02:45.875, 100, 349.30, 66
2025/07/30 15:02:46.943, 100, 349.78, 66
2025/07/30 15:02:47.985, 100, 349.93, 66
2025/07/30 15:02:49.029, 100, 345.36, 66
2025/07/30 15:02:50.053, 100, 348.80, 66
2025/07/30 15:02:51.099, 100, 349.85, 66
2025/07/30 15:02:52.161, 100, 349.39, 66
2025/07/30 15:02:53.207, 100, 341.33, 66
2025/07/30 15:02:54.249, 100, 350.10, 66
2025/07/30 15:02:55.313, 100, 349.74, 66
2025/07/30 15:02:56.354, 100, 350.58, 62
2025/07/30 15:02:57.396, 100, 356.41, 66
2025/07/30 15:02:58.439, 100, 350.51, 66
