timestamp, utilization.gpu [%], power.draw [W], temperature.gpu [C]
2025/07/30 14:59:58.372, 0, 32.52, 31
2025/07/30 14:59:59.434, 0, 32.51, 31
2025/07/30 15:00:00.458, 0, 32.50, 31
2025/07/30 15:00:01.501, 100, 178.72, 45
2025/07/30 15:00:02.524, 100, 351.70, 47
2025/07/30 15:00:03.587, 100, 349.42, 49
2025/07/30 15:00:04.648, 100, 348.97, 50
2025/07/30 15:00:05.688, 100, 345.04, 50
2025/07/30 15:00:06.735, 100, 349.12, 51
2025/07/30 15:00:07.776, 100, 350.81, 52
2025/07/30 15:00:08.800, 100, 349.96, 52
2025/07/30 15:00:09.843, 100, 340.65, 53
2025/07/30 15:00:10.906, 100, 351.77, 53
2025/07/30 15:00:11.949, 100, 347.08, 54
2025/07/30 15:00:12.992, 100, 340.81, 55
2025/07/30 15:00:14.033, 100, 354.04, 55
2025/07/30 15:00:15.056, 100, 349.87, 56
2025/07/30 15:00:16.096, 100, 351.23, 56
2025/07/30 15:00:17.136, 100, 344.31, 57
2025/07/30 15:00:18.176, 100, 349.74, 58
2025/07/30 15:00:19.202, 100, 349.13, 58
2025/07/30 15:00:20.244, 100, 348.67, 59
2025/07/30 15:00:21.287, 100, 355.28, 59
2025/07/30 15:00:22.330, 100, 352.17, 60
2025/07/30 15:00:23.372, 100, 352.63, 60
2025/07/30 15:00:24.416, 100, 350.67, 61
2025/07/30 15:00:25.476, 100, 353.31, 61
2025/07/30 15:00:26.498, 100, 352.09, 61
2025/07/30 15:00:27.543, 100, 351.14, 62
2025/07/30 15:00:28.593, 100, 351.65, 62
2025/07/30 15:00:29.636, 100, 350.84, 62
2025/07/30 15:00:30.677, 100, 351.18, 63
2025/07/30 15:00:31.720, 100, 351.15, 63
2025/07/30 15:00:32.742, 100, 351.20, 63
2025/07/30 15:00:33.808, 100, 357.23, 64
2025/07/30 15:00:34.870, 100, 349.86, 64
2025/07/30 15:00:35.913, 100, 349.76, 64
2025/07/30 15:00:36.973, 100, 350.50, 64
2025/07/30 15:00:38.016, 100, 344.06, 65
2025/07/30 15:00:39.056, 100, 349.18, 65
2025/07/30 15:00:40.102, 100, 350.30, 65
2025/07/30 15:00:41.164, 100, 349.75, 65
2025/07/30 15:00:42.205, 100, 359.06, 66
2025/07/30 15:00:43.251, 100, 350.34, 66
2025/07/30 15:00:44.312, 100, 350.39, 66
2025/07/30 15:00:45.353, 100, 349.65, 66
2025/07/30 15:00:46.413, 100, 345.99, 66
2025/07/30 15:00:47.452, 100, 350.28, 67
2025/07/30 15:00:48.496, 100, 350.48, 67
2025/07/30 15:00:49.540, 100, 349.39, 67
2025/07/30 15:00:50.603, 100, 342.51, 67
2025/07/30 15:00:51.643, 100, 349.39, 67
2025/07/30 15:00:52.685, 100, 349.32, 67
2025/07/30 15:00:53.751, 100, 349.37, 67
2025/07/30 15:00:54.791, 100, 359.20, 68
2025/07/30 15:00:55.832, 100, 349.89, 68
2025/07/30 15:00:56.892, 100, 349.51, 68
2025/07/30 15:00:57.931, 100, 349.30, 68
2025/07/30 15:00:58.974, 100, 345.77, 68
2025/07/30 15:01:00.012, 100, 348.79, 68
2025/07/30 15:01:01.056, 100, 349.35, 68
2025/07/30 15:01:02.099, 100, 349.56, 68
2025/07/30 15:01:03.141, 100, 344.99, 68
2025/07/30 15:01:04.184, 100, 349.12, 69
2025/07/30 15:01:05.226, 100, 348.87, 69
2025/07/30 15:01:06.269, 100, 349.91, 69
2025/07/30 15:01:07.333, 100, 350.97, 69
2025/07/30 15:01:08.402, 100, 348.84, 69
2025/07/30 15:01:09.465, 100, 350.04, 69
2025/07/30 15:01:10.486, 100, 348.74, 69
2025/07/30 15:01:11.548, 100, 355.38, 69
2025/07/30 15:01:12.613, 100, 349.16, 69
2025/07/30 15:01:13.654, 100, 350.16, 69
2025/07/30 15:01:14.697, 100, 349.97, 69
2025/07/30 15:01:15.740, 100, 353.93, 69
2025/07/30 15:01:16.781, 100, 349.68, 69
2025/07/30 15:01:17.821, 100, 350.10, 69
2025/07/30 15:01:18.881, 100, 350.06, 70
2025/07/30 15:01:19.945, 100, 348.36, 69
2025/07/30 15:01:21.008, 100, 349.07, 69
2025/07/30 15:01:22.051, 100, 350.47, 69
2025/07/30 15:01:23.075, 100, 350.18, 70
2025/07/30 15:01:24.138, 100, 349.23, 69
2025/07/30 15:01:25.202, 100, 349.52, 69
2025/07/30 15:01:26.245, 100, 350.28, 69
2025/07/30 15:01:27.291, 100, 349.27, 70
2025/07/30 15:01:28.332, 100, 349.91, 69
2025/07/30 15:01:29.394, 100, 348.89, 69
2025/07/30 15:01:30.437, 100, 349.82, 69
2025/07/30 15:01:31.505, 100, 349.42, 70
2025/07/30 15:01:32.550, 100, 350.09, 69
2025/07/30 15:01:33.614, 100, 349.68, 70
2025/07/30 15:01:34.657, 100, 350.69, 70
2025/07/30 15:01:35.703, 100, 350.84, 70
2025/07/30 15:01:36.764, 100, 350.17, 69
2025/07/30 15:01:37.827, 100, 349.29, 70
2025/07/30 15:01:38.890, 100, 350.12, 70
2025/07/30 15:01:39.955, 100, 344.59, 64
2025/07/30 15:01:40.998, 100, 351.59, 70
2025/07/30 15:01:42.061, 100, 350.39, 70
2025/07/30 15:01:43.105, 100, 350.60, 70
2025/07/30 15:01:44.150, 100, 348.69, 65
2025/07/30 15:01:45.174, 100, 356.06, 69
2025/07/30 15:01:46.219, 100, 350.06, 70
2025/07/30 15:01:47.260, 100, 350.98, 70
2025/07/30 15:01:48.325, 100, 350.47, 70
2025/07/30 15:01:49.368, 100, 357.00, 69
2025/07/30 15:01:50.391, 100, 350.19, 69
2025/07/30 15:01:51.432, 100, 350.67, 70
