timestamp, utilization.gpu [%], power.draw [W], temperature.gpu [C]
2025/07/30 14:43:48.144, 100, 350.09, 69
2025/07/30 14:43:49.185, 100, 339.48, 68
2025/07/30 14:43:50.250, 100, 349.73, 68
2025/07/30 14:43:51.299, 100, 349.61, 68
2025/07/30 14:43:52.341, 100, 350.27, 68
2025/07/30 14:43:53.365, 100, 347.06, 68
2025/07/30 14:43:54.408, 100, 349.39, 68
2025/07/30 14:43:55.468, 100, 350.39, 68
2025/07/30 14:43:56.509, 100, 349.80, 68
2025/07/30 14:43:57.569, 100, 346.94, 68
2025/07/30 14:43:58.613, 100, 349.08, 68
2025/07/30 14:43:59.653, 100, 349.62, 68
2025/07/30 14:44:00.721, 100, 349.06, 68
2025/07/30 14:44:01.784, 100, 346.47, 68
2025/07/30 14:44:02.825, 100, 349.74, 68
2025/07/30 14:44:03.889, 100, 349.16, 68
2025/07/30 14:44:04.958, 100, 349.10, 68
2025/07/30 14:44:06.001, 100, 346.69, 68
2025/07/30 14:44:07.066, 100, 349.65, 68
2025/07/30 14:44:08.116, 100, 348.92, 67
2025/07/30 14:44:09.155, 100, 348.80, 68
2025/07/30 14:44:10.219, 100, 346.84, 67
2025/07/30 14:44:11.263, 100, 348.79, 67
2025/07/30 14:44:12.324, 100, 349.25, 67
2025/07/30 14:44:13.365, 100, 349.98, 67
2025/07/30 14:44:14.406, 100, 347.56, 67
2025/07/30 14:44:15.450, 100, 349.73, 67
2025/07/30 14:44:16.491, 100, 349.82, 67
2025/07/30 14:44:17.532, 100, 349.71, 67
2025/07/30 14:44:18.572, 100, 341.68, 67
2025/07/30 14:44:19.638, 100, 349.55, 67
2025/07/30 14:44:20.681, 100, 348.82, 67
2025/07/30 14:44:21.724, 100, 349.85, 67
2025/07/30 14:44:22.764, 100, 340.81, 67
2025/07/30 14:44:23.808, 100, 349.10, 67
2025/07/30 14:44:24.849, 100, 349.38, 67
2025/07/30 14:44:25.894, 100, 349.85, 67
2025/07/30 14:44:26.937, 100, 342.26, 67
2025/07/30 14:44:27.977, 100, 349.80, 67
2025/07/30 14:44:29.016, 100, 348.80, 67
2025/07/30 14:44:30.057, 100, 349.40, 67
2025/07/30 14:44:31.097, 100, 353.96, 67
2025/07/30 14:44:32.137, 100, 349.55, 67
2025/07/30 14:44:33.196, 100, 350.30, 66
2025/07/30 14:44:34.236, 100, 350.04, 67
2025/07/30 14:44:35.276, 100, 360.96, 67
2025/07/30 14:44:36.316, 100, 349.69, 67
2025/07/30 14:44:37.357, 100, 349.01, 66
2025/07/30 14:44:38.417, 100, 349.01, 66
2025/07/30 14:44:39.477, 100, 348.14, 66
2025/07/30 14:44:40.541, 100, 350.78, 66
2025/07/30 14:44:41.585, 100, 349.14, 66
2025/07/30 14:44:42.629, 100, 350.47, 66
2025/07/30 14:44:43.692, 100, 344.25, 66
2025/07/30 14:44:44.733, 100, 349.28, 66
2025/07/30 14:44:45.776, 100, 350.39, 66
2025/07/30 14:44:46.817, 100, 350.37, 66
2025/07/30 14:44:47.865, 100, 344.70, 66
2025/07/30 14:44:48.891, 100, 348.77, 66
2025/07/30 14:44:49.955, 100, 348.85, 66
2025/07/30 14:44:50.997, 100, 349.80, 66
2025/07/30 14:44:52.056, 100, 352.79, 66
2025/07/30 14:44:53.116, 100, 349.20, 66
2025/07/30 14:44:54.157, 100, 349.20, 66
2025/07/30 14:44:55.203, 100, 349.93, 66
2025/07/30 14:44:56.245, 100, 352.96, 66
2025/07/30 14:44:57.289, 100, 348.81, 65
2025/07/30 14:44:58.339, 100, 348.91, 66
2025/07/30 14:44:59.381, 100, 350.31, 66
2025/07/30 14:45:00.428, 100, 347.26, 65
2025/07/30 14:45:01.455, 100, 349.79, 65
2025/07/30 14:45:02.482, 100, 349.27, 65
2025/07/30 14:45:03.525, 100, 349.17, 65
2025/07/30 14:45:04.571, 100, 339.93, 65
2025/07/30 14:45:05.615, 100, 349.39, 65
2025/07/30 14:45:06.641, 100, 349.95, 66
2025/07/30 14:45:07.688, 100, 350.69, 66
2025/07/30 14:45:08.731, 100, 356.61, 65
2025/07/30 14:45:09.757, 100, 348.23, 65
2025/07/30 14:45:10.822, 100, 349.18, 65
2025/07/30 14:45:11.894, 100, 349.65, 65
2025/07/30 14:45:12.961, 100, 345.00, 65
2025/07/30 14:45:14.006, 100, 349.59, 65
2025/07/30 14:45:15.070, 100, 350.69, 65
2025/07/30 14:45:16.114, 100, 350.32, 60
2025/07/30 14:45:17.139, 100, 348.93, 65
2025/07/30 14:45:18.162, 100, 348.43, 65
2025/07/30 14:45:19.187, 100, 348.79, 65
2025/07/30 14:45:20.229, 100, 349.62, 65
2025/07/30 14:45:21.270, 100, 348.20, 65
2025/07/30 14:45:22.314, 100, 349.11, 65
2025/07/30 14:45:23.357, 100, 350.21, 65
2025/07/30 14:45:24.402, 100, 351.08, 61
2025/07/30 14:45:25.471, 100, 340.28, 65
2025/07/30 14:45:26.515, 100, 349.42, 65
2025/07/30 14:45:27.538, 100, 349.79, 65
2025/07/30 14:45:28.581, 100, 350.89, 60
2025/07/30 14:45:29.622, 100, 359.69, 64
2025/07/30 14:45:30.692, 100, 349.00, 65
2025/07/30 14:45:31.765, 100, 350.69, 65
2025/07/30 14:45:32.811, 100, 335.03, 65
2025/07/30 14:45:33.859, 100, 354.57, 65
2025/07/30 14:45:34.922, 100, 350.36, 65
2025/07/30 14:45:35.986, 100, 350.69, 65
2025/07/30 14:45:37.030, 100, 357.60, 65
2025/07/30 14:45:38.074, 100, 351.76, 64
2025/07/30 14:45:39.122, 100, 348.98, 65
2025/07/30 14:45:40.166, 100, 350.05, 64
2025/07/30 14:45:41.229, 100, 340.00, 65
2025/07/30 14:45:42.278, 100, 353.36, 64
2025/07/30 14:45:43.321, 100, 349.68, 65
2025/07/30 14:45:44.365, 100, 350.03, 64
2025/07/30 14:45:45.407, 100, 354.66, 64
2025/07/30 14:45:46.449, 100, 350.56, 65
2025/07/30 14:45:47.514, 100, 350.63, 64
2025/07/30 14:45:48.557, 100, 350.12, 65
2025/07/30 14:45:49.598, 100, 337.72, 65
2025/07/30 14:45:50.643, 100, 351.54, 64
2025/07/30 14:45:51.687, 100, 350.04, 65
2025/07/30 14:45:52.730, 100, 349.99, 65
2025/07/30 14:45:53.795, 100, 356.43, 64
2025/07/30 14:45:54.838, 100, 353.17, 64
2025/07/30 14:45:55.903, 100, 350.76, 65
2025/07/30 14:45:56.945, 100, 351.17, 64
2025/07/30 14:45:57.973, 100, 345.38, 64
2025/07/30 14:45:59.038, 100, 350.53, 64
2025/07/30 14:46:00.062, 100, 350.25, 64
2025/07/30 14:46:01.106, 100, 350.05, 64
2025/07/30 14:46:02.170, 100, 355.89, 65
2025/07/30 14:46:03.235, 100, 350.80, 64
2025/07/30 14:46:04.279, 100, 349.97, 64
2025/07/30 14:46:05.322, 100, 350.69, 64
2025/07/30 14:46:06.366, 100, 340.28, 64
2025/07/30 14:46:07.391, 100, 350.27, 64
2025/07/30 14:46:08.433, 100, 351.63, 64
2025/07/30 14:46:09.473, 100, 350.50, 64
2025/07/30 14:46:10.513, 100, 353.25, 64
2025/07/30 14:46:11.558, 100, 352.37, 64
2025/07/30 14:46:12.583, 100, 351.83, 64
2025/07/30 14:46:13.645, 100, 351.59, 64
2025/07/30 14:46:14.683, 100, 342.16, 64
2025/07/30 14:46:15.703, 100, 351.50, 64
2025/07/30 14:46:16.743, 100, 350.86, 64
2025/07/30 14:46:17.786, 100, 351.15, 64
2025/07/30 14:46:18.829, 100, 348.39, 64
2025/07/30 14:46:19.874, 100, 351.28, 64
2025/07/30 14:46:20.938, 100, 350.01, 64
2025/07/30 14:46:21.986, 100, 350.67, 64
2025/07/30 14:46:23.051, 100, 356.64, 64
2025/07/30 14:46:24.118, 100, 350.36, 64
2025/07/30 14:46:25.186, 100, 349.62, 64
2025/07/30 14:46:26.230, 100, 350.14, 64
2025/07/30 14:46:27.294, 100, 343.58, 64
2025/07/30 14:46:28.318, 100, 350.32, 64
2025/07/30 14:46:29.360, 100, 349.68, 64
2025/07/30 14:46:30.401, 100, 349.29, 64
2025/07/30 14:46:31.445, 100, 351.40, 64
2025/07/30 14:46:32.489, 100, 351.01, 64
2025/07/30 14:46:33.513, 100, 349.02, 64
2025/07/30 14:46:34.578, 100, 349.68, 64
2025/07/30 14:46:35.603, 100, 344.11, 64
2025/07/30 14:46:36.646, 100, 349.77, 64
2025/07/30 14:46:37.670, 100, 350.54, 64
2025/07/30 14:46:38.732, 100, 349.11, 64
2025/07/30 14:46:39.781, 100, 342.05, 64
2025/07/30 14:46:40.825, 100, 349.29, 64
2025/07/30 14:46:41.870, 100, 349.01, 63
2025/07/30 14:46:42.914, 100, 349.75, 63
2025/07/30 14:46:43.979, 100, 358.91, 64
2025/07/30 14:46:45.022, 100, 350.12, 63
2025/07/30 14:46:46.066, 100, 350.01, 63
