timestamp, utilization.gpu [%], power.draw [W], temperature.gpu [C]
2025/07/30 14:41:57.054, 0, 33.62, 34
2025/07/30 14:41:58.105, 0, 33.61, 34
2025/07/30 14:41:59.131, 0, 33.47, 34
2025/07/30 14:42:00.192, 100, 176.49, 49
2025/07/30 14:42:01.238, 100, 348.79, 51
2025/07/30 14:42:02.263, 100, 350.30, 52
2025/07/30 14:42:03.305, 100, 351.29, 53
2025/07/30 14:42:04.350, 100, 344.90, 54
2025/07/30 14:42:05.394, 100, 349.74, 54
2025/07/30 14:42:06.419, 100, 347.29, 55
2025/07/30 14:42:07.481, 100, 351.03, 55
2025/07/30 14:42:08.525, 100, 356.29, 56
2025/07/30 14:42:09.569, 100, 349.84, 56
2025/07/30 14:42:10.634, 100, 348.89, 57
2025/07/30 14:42:11.676, 100, 352.62, 58
2025/07/30 14:42:12.718, 100, 350.09, 58
2025/07/30 14:42:13.769, 100, 350.31, 59
2025/07/30 14:42:14.832, 100, 351.39, 59
2025/07/30 14:42:15.872, 100, 342.27, 60
2025/07/30 14:42:16.939, 100, 348.67, 60
2025/07/30 14:42:17.983, 100, 349.67, 61
2025/07/30 14:42:19.027, 100, 351.72, 61
2025/07/30 14:42:20.069, 100, 357.21, 62
2025/07/30 14:42:21.113, 100, 352.38, 62
2025/07/30 14:42:22.157, 100, 351.26, 63
2025/07/30 14:42:23.201, 100, 349.18, 63
2025/07/30 14:42:24.245, 100, 346.48, 63
2025/07/30 14:42:25.310, 100, 351.74, 64
2025/07/30 14:42:26.372, 100, 349.69, 64
2025/07/30 14:42:27.431, 100, 350.36, 64
2025/07/30 14:42:28.471, 100, 344.60, 65
2025/07/30 14:42:29.534, 100, 349.00, 65
2025/07/30 14:42:30.578, 100, 349.84, 65
2025/07/30 14:42:31.639, 100, 349.39, 65
2025/07/30 14:42:32.684, 100, 348.48, 65
2025/07/30 14:42:33.708, 100, 350.29, 66
2025/07/30 14:42:34.751, 100, 349.33, 66
2025/07/30 14:42:35.812, 100, 349.76, 66
2025/07/30 14:42:36.853, 100, 358.44, 67
2025/07/30 14:42:37.916, 100, 348.97, 67
2025/07/30 14:42:38.956, 100, 349.72, 67
2025/07/30 14:42:39.977, 100, 349.52, 67
2025/07/30 14:42:41.025, 100, 343.19, 67
2025/07/30 14:42:42.073, 100, 348.77, 68
2025/07/30 14:42:43.113, 100, 349.67, 68
2025/07/30 14:42:44.161, 100, 349.94, 68
2025/07/30 14:42:45.205, 100, 360.06, 68
2025/07/30 14:42:46.246, 100, 350.17, 68
2025/07/30 14:42:47.289, 100, 348.89, 68
2025/07/30 14:42:48.331, 100, 349.70, 68
2025/07/30 14:42:49.372, 100, 351.66, 69
2025/07/30 14:42:50.433, 100, 349.19, 69
2025/07/30 14:42:51.477, 100, 348.90, 69
2025/07/30 14:42:52.521, 100, 349.83, 69
2025/07/30 14:42:53.590, 100, 348.10, 69
2025/07/30 14:42:54.633, 100, 349.52, 69
2025/07/30 14:42:55.675, 100, 349.26, 69
2025/07/30 14:42:56.718, 100, 349.51, 69
2025/07/30 14:42:57.780, 100, 347.16, 69
2025/07/30 14:42:58.845, 100, 350.02, 69
2025/07/30 14:42:59.910, 100, 349.83, 70
2025/07/30 14:43:00.952, 100, 350.59, 70
2025/07/30 14:43:01.994, 100, 346.18, 70
2025/07/30 14:43:03.037, 100, 349.07, 70
2025/07/30 14:43:04.081, 100, 348.74, 70
2025/07/30 14:43:05.141, 100, 348.85, 70
2025/07/30 14:43:06.180, 100, 347.56, 70
2025/07/30 14:43:07.225, 100, 349.31, 70
2025/07/30 14:43:08.273, 100, 348.92, 70
2025/07/30 14:43:09.298, 100, 349.60, 70
2025/07/30 14:43:10.342, 100, 350.38, 70
2025/07/30 14:43:11.384, 100, 350.14, 70
2025/07/30 14:43:12.424, 100, 350.12, 70
2025/07/30 14:43:13.489, 100, 349.33, 70
2025/07/30 14:43:14.533, 100, 361.84, 70
2025/07/30 14:43:15.577, 100, 350.01, 70
2025/07/30 14:43:16.620, 100, 349.33, 70
2025/07/30 14:43:17.681, 100, 349.33, 70
2025/07/30 14:43:18.745, 100, 358.16, 70
2025/07/30 14:43:19.808, 100, 349.18, 70
2025/07/30 14:43:20.851, 100, 349.55, 70
2025/07/30 14:43:21.893, 100, 350.03, 70
2025/07/30 14:43:22.957, 100, 349.28, 70
2025/07/30 14:43:24.021, 100, 348.17, 70
2025/07/30 14:43:25.067, 100, 349.66, 70
2025/07/30 14:43:26.114, 100, 349.22, 70
2025/07/30 14:43:27.139, 100, 346.49, 70
2025/07/30 14:43:28.182, 100, 347.47, 70
2025/07/30 14:43:29.226, 100, 348.56, 70
2025/07/30 14:43:30.290, 100, 348.57, 70
2025/07/30 14:43:31.354, 100, 344.98, 69
2025/07/30 14:43:32.379, 100, 348.69, 69
2025/07/30 14:43:33.423, 100, 348.98, 70
2025/07/30 14:43:34.467, 100, 344.40, 65
2025/07/30 14:43:35.509, 100, 356.35, 69
2025/07/30 14:43:36.550, 100, 348.17, 69
2025/07/30 14:43:37.594, 100, 349.16, 70
